"UniprotAC","GeneName","DrugID","DrugName","InChI","Indication","Source"
"P08183","ABCB1","DB04881","Elacridar","InChI=1S/C34H33N3O5/c1-40-28-9-5-7-26-32(28)36-31-25(33(26)38)6-4-8-27(31)34(39)35-24-12-10-21(11-13-24)14-16-37-17-15-22-18-29(41-2)30(42-3)19-23(22)20-37/h4-13,18-19H,14-17,20H2,1-3H3,(H,35,39)(H,36,38)","For the treatment of solid tumors.","DrugBank"
"P08183","ABCB1","DB16407","Azvudine","InChI=1S/C9H11FN6O4/c10-5-6(18)9(3-17,14-15-12)20-7(5)16-2-1-4(11)13-8(16)19/h1-2,5-7,17-18H,3H2,(H2,11,13,19)/t5-,6-,7+,9+/m0/s1",NA,"DrugBank"
"P08183","ABCB1","DB14068","Dexniguldipine","InChI=1S/C36H39N3O6/c1-25-31(34(40)44-3)33(27-12-10-17-30(24-27)39(42)43)32(26(2)37-25)35(41)45-23-11-20-38-21-18-36(19-22-38,28-13-6-4-7-14-28)29-15-8-5-9-16-29/h4-10,12-17,24,33,37H,11,18-23H2,1-3H3/t33-/m1/s1",NA,"DrugBank"
"P08183","ABCB1","DB05449","FM-VP4",NA,"Investigated for use/treatment in hyperlipidemia and cancer/tumors (unspecified).
Monotherapy is recommended for people with marginally high LDL-cholesterol or who cannot be prescribed statins due to drug interactions and safety concerns. Combination Therapy is recommended if statin therapy alone is either insufficient to achieve the guidelines set by the NCEP or there is concern over side effects as Statin doses can be lowered in combination treatment without losing efficacy.","DrugBank"
"P08183","ABCB1","DB14064","Emopamil","InChI=1S/C23H30N2/c1-20(2)23(19-24,22-13-8-5-9-14-22)16-10-17-25(3)18-15-21-11-6-4-7-12-21/h4-9,11-14,20H,10,15-18H2,1-3H3",NA,"DrugBank"
"P08183","ABCB1","DB14070","HM-30181","InChI=1S/C38H36N6O7/c1-47-32-17-24-14-16-43(22-25(24)18-33(32)48-2)15-13-23-9-11-26(12-10-23)44-41-37(40-42-44)28-19-34(49-3)35(50-4)20-29(28)39-38(46)36-21-30(45)27-7-5-6-8-31(27)51-36/h5-12,17-21H,13-16,22H2,1-4H3,(H,39,46)",NA,"DrugBank"
"P08183","ABCB1","DB00603","Medroxyprogesterone acetate","InChI=1S/C24H34O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h13-14,18-20H,6-12H2,1-5H3/t14-,18+,19-,20-,22+,23-,24-/m0/s1","Medroxyprogesterone acetate (MPA) oral tablets are indicated to treat secondary amenorrhea, reduce the incidence of endometrial hyperplasia in postmenopausal women, and to treat abnormal uterine bleeding due to hormonal imbalance, not organic pathology.[L8657] Oral tablets containing MPA and conjugated estrogens are indicated to prevent postmenopausal osteoporosis and to treat moderate to severe menopausal symptoms such as vasomotor symptoms, vulvar atrophy, and vaginal atrophy.[L8660] Subcutaneous MPA is indicated to prevent pregnancy and manage pain associated with endometriosis.[L8663] Intramuscular MPA is indicated to prevent pregnancy,[L8666] and at higher concentrations for palliative treatment of endometrial or renal carcinoma.[L8669]","DrugBank"
"P08183","ABCB1","DB00778","Roxithromycin","InChI=1S/C41H76N2O15/c1-15-29-41(10,49)34(45)24(4)31(42-53-21-52-17-16-50-13)22(2)19-39(8,48)36(58-38-32(44)28(43(11)12)18-23(3)54-38)25(5)33(26(6)37(47)56-29)57-30-20-40(9,51-14)35(46)27(7)55-30/h22-30,32-36,38,44-46,48-49H,15-21H2,1-14H3/b42-31+/t22-,23-,24+,25+,26-,27+,28+,29-,30+,32-,33+,34-,35+,36-,38+,39-,40-,41-/m1/s1","Used to treat respiratory tract, urinary and soft tissue infections.","DrugBank"
"P08183","ABCB1","DB14067","Dofequidar","InChI=1S/C30H31N3O3/c34-25(22-36-28-15-7-14-27-26(28)13-8-16-31-27)21-32-17-19-33(20-18-32)30(35)29(23-9-3-1-4-10-23)24-11-5-2-6-12-24/h1-16,25,29,34H,17-22H2",NA,"DrugBank"
"P08183","ABCB1","DB14072","Reversin 121","InChI=1S/C34H47N3O9/c1-33(2,3)45-30(40)26(19-13-14-20-35-31(41)44-23-25-17-11-8-12-18-25)36-29(39)27(37-32(42)46-34(4,5)6)21-28(38)43-22-24-15-9-7-10-16-24/h7-12,15-18,26-27H,13-14,19-23H2,1-6H3,(H,35,41)(H,36,39)(H,37,42)/t26-,27-/m0/s1",NA,"DrugBank"
"P08183","ABCB1","DB14062","Concanamycin A","InChI=1S/C46H75NO14/c1-13-16-34-28(7)37(58-38-22-33(48)43(31(10)57-38)60-45(47)53)23-46(54,61-34)30(9)41(51)29(8)42-35(55-11)18-15-17-24(3)19-26(5)39(49)32(14-2)40(50)27(6)20-25(4)21-36(56-12)44(52)59-42/h13,15-18,20-21,26-35,37-43,48-51,54H,14,19,22-23H2,1-12H3,(H2,47,53)/b16-13+,18-15+,24-17+,25-20+,36-21-/t26-,27-,28-,29+,30+,31-,32+,33-,34-,35+,37-,38+,39+,40-,41-,42-,43-,46-/m1/s1",NA,"DrugBank"
"P08183","ABCB1","DB06420","Annamycin","InChI=1S/C26H25IO11/c1-9-19(30)24(35)18(27)25(37-9)38-13-7-26(36,14(29)8-28)6-12-15(13)23(34)17-16(22(12)33)20(31)10-4-2-3-5-11(10)21(17)32/h2-5,9,13,18-19,24-25,28,30,33-36H,6-8H2,1H3/t9-,13-,18+,19-,24-,25-,26-/m0/s1","Investigated for use/treatment in breast cancer and leukemia (unspecified).","DrugBank"
"P08183","ABCB1","DB00171","ATP","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"P08183","ABCB1","DB11635","Tocofersolan",NA,"Tocofersolan is indicated in vitamin E deficiency caused by digestive malabsorption in pediatric patients with congenital chronic cholestasis or hereditary chronic cholestasis from birth (full term newborns) up to 18 years of age [L2371].","DrugBank"
"P08183","ABCB1","DB00661","Verapamil","InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3","Verapamil is indicated in the treatment of vasopastic (i.e. Prinzmetal's) angina, unstable angina, and chronic stable angina. It is also indicated to treat hypertension, for the prophylaxis of repetitive paroxysmal supraventricular tachycardia, and in combination with digoxin to control ventricular rate in patients with atrial fibrillation or atrial flutter.[L8791] Given intravenously, it is indicated for the treatment of various supraventricular tachyarrhythmias, including rapid conversion to sinus rhythm in patients with supraventricular tachycardia and for temporary control of ventricular rate in patients with atrial fibrillation or atrial flutter.[L10481]
Verapamil is commonly used off-label for prophylaxis of cluster headaches.[A13983]","DrugBank"
"P08183","ABCB1","DB09031","Miltefosine","InChI=1S/C21H46NO4P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-25-27(23,24)26-21-19-22(2,3)4/h5-21H2,1-4H3","For the treatment of mucosal (caused by Leishmania braziliensis), cutaneous (caused by L. braziliensis, L. guyanensis, and L. panamensis), and visceral leishmaniasis (caused by L. donovani). In comparing Leishmania drug susceptibility, it has been found that L. donovani is the most susceptible to miltefosine while L. major is the least susceptible.  Off-label use includes treatment of free-living amebae (FLA) infections (unlabeled use; CDC, 2013). ","DrugBank"
"P08183","ABCB1","DB14065","Lomerizine","InChI=1S/C27H30F2N2O3/c1-32-24-13-8-21(26(33-2)27(24)34-3)18-30-14-16-31(17-15-30)25(19-4-9-22(28)10-5-19)20-6-11-23(29)12-7-20/h4-13,25H,14-18H2,1-3H3",NA,"DrugBank"
"O95342","ABCB11","DB01016","Glyburide","InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)","Glyburide is indicated alone or as part of combination product with metformin, as an adjunct to diet and exercise, to improve glycemic control in adults with type 2 diabetes mellitus.[L8120,L8123]","DrugBank"
"O95342","ABCB11","DB00171","ATP","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"O95255","ABCC6","DB00171","ATP","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"P42765","ACAA2","DB09069","Trimetazidine","InChI=1S/C14H22N2O3/c1-17-12-5-4-11(13(18-2)14(12)19-3)10-16-8-6-15-7-9-16/h4-5,15H,6-10H2,1-3H3","Trimetazidine is indicated for the symptomatic treatment of stable angina pectoris in patients inadequately controlled or intolerant to first line therapies.[L33015]","DrugBank"
"O00763","ACACB","DB02859","Soraphen A","InChI=1S/C29H44O8/c1-18-16-17-24(34-5)23(33-4)15-11-10-14-22(21-12-8-7-9-13-21)36-28(31)20(3)29(32)27(35-6)25(30)19(2)26(18)37-29/h7-9,12-13,16-20,22-27,30,32H,10-11,14-15H2,1-6H3/b17-16+/t18-,19-,20+,22-,23-,24+,25-,26-,27+,29+/m0/s1",NA,"DrugBank"
"O00763","ACACB","DB07870","Haloxyfop-P","InChI=1S/C15H11ClF3NO4/c1-8(14(21)22)23-10-2-4-11(5-3-10)24-13-12(16)6-9(7-20-13)15(17,18)19/h2-8H,1H3,(H,21,22)/t8-/m1/s1",NA,"DrugBank"
"O00763","ACACB","DB00121","Biotin","InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1","For nutritional supplementation, also for treating dietary shortage or imbalance.","DrugBank"
"O00763","ACACB","DB00173","Adenine","InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"O00763","ACACB","DB03781","2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid","InChI=1S/C15H12Cl2O4/c1-9(15(18)19)20-11-3-5-12(6-4-11)21-14-7-2-10(16)8-13(14)17/h2-9H,1H3,(H,18,19)/t9-/m1/s1",NA,"DrugBank"
"P11310","ACADM","DB02910","Octanoyl-Coenzyme A","InChI=1S/C29H50N7O17P3S/c1-4-5-6-7-8-9-20(38)57-13-12-31-19(37)10-11-32-27(41)24(40)29(2,3)15-50-56(47,48)53-55(45,46)49-14-18-23(52-54(42,43)44)22(39)28(51-18)36-17-35-21-25(30)33-16-34-26(21)36/h16-18,22-24,28,39-40H,4-15H2,1-3H3,(H,31,37)(H,32,41)(H,45,46)(H,47,48)(H2,30,33,34)(H2,42,43,44)/t18-,22-,23-,24+,28-/m1/s1",NA,"DrugBank"
"P11310","ACADM","DB03415","3-thiaoctanoyl-CoA","InChI=1S/C28H48N7O17P3S2/c1-4-5-6-10-56-13-19(37)57-11-9-30-18(36)7-8-31-26(40)23(39)28(2,3)14-49-55(46,47)52-54(44,45)48-12-17-22(51-53(41,42)43)21(38)27(50-17)35-16-34-20-24(29)32-15-33-25(20)35/h15-17,21-23,27,38-39H,4-14H2,1-3H3,(H,30,36)(H,31,40)(H,44,45)(H,46,47)(H2,29,32,33)(H2,41,42,43)/t17-,21-,22-,23+,27-/m1/s1",NA,"DrugBank"
"P11310","ACADM","DB03147","Flavin adenine dinucleotide","InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1","Used to treat eye diseases caused by vitamin B2 deficiency, such as keratitis and blepharitis.","DrugBank"
"P16219","ACADS","DB03147","Flavin adenine dinucleotide","InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1","Used to treat eye diseases caused by vitamin B2 deficiency, such as keratitis and blepharitis.","DrugBank"
"P16219","ACADS","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"P16219","ACADS","DB03059","Acetoacetyl-CoA","InChI=1S/C25H40N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-12,14,18-20,24,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/t14-,18-,19-,20+,24-/m1/s1",NA,"DrugBank"
"P45954","ACADSB","DB00167","Isoleucine","InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1","The branched-chain amino acids may have antihepatic encephalopathy activity in some. They may also have anticatabolic and antitardive dyskinesia activity.","DrugBank"
"P45954","ACADSB","DB00313","Valproic acid","InChI=1S/C8H16O2/c1-3-5-7(6-4-2)8(9)10/h7H,3-6H2,1-2H3,(H,9,10)","**Indicated** for:[Label] 
1) Use as monotherapy or adjunctive therapy in the management of complex partial seizures and simple or complex absence seizures. 
2) Adjunctive therapy in the management of multiple seizure types that include absence seizures. 
3) Prophylaxis of migraine headaches.
4) Acute management of mania associated with bipolar disorder.

**Off-label** uses include:
 
1) Maintenance therapy for bipolar disorder.[A177919]
2) Treatment for acute bipolar depression.[A177928,A177931,A177934]
3) Emergency treatment of status epilepticus.[A177955]","DrugBank"
"P53396","ACLY","DB11936","Bempedoic acid","InChI=1S/C19H36O5/c1-18(2,16(21)22)13-9-5-7-11-15(20)12-8-6-10-14-19(3,4)17(23)24/h15,20H,5-14H2,1-4H3,(H,21,22)(H,23,24)","Bempedoic acid is indicated as an adjunct to diet and maximally tolerated statin therapy for adults with heterozygous familial hypercholesterolemia or existing atherosclerotic cardiovascular disease that warrants additional lowering of LDL-C.[L12144]
The combination of bempedoic and ezetimibe is also indicated with diet management and maximally tolerated statin therapy to treat elevated LDL-C levels in adults with heterozygous familial hypercholesterolemia or existing atherosclerotic cardiovascular disease who require further lowering of LDL-C.[L12150]","DrugBank"
"Q9NPJ3","ACOT13","DB08688","2-Undecanone","InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",NA,"DrugBank"
"P33121","ACSL1","DB00131","Adenosine phosphate","InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"P33121","ACSL1","DB00171","ATP","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
